"workerid","rt","content","subjectGender","speakerGender","question","speakerName","fact_type","subjectName","verb","utterance","contentNr","trigger_class","response","fact","slide_number_in_experiment"
71,5619,"Emma studied on Saturday morning","M","F","3","Lisa","factH","Scott","inform_Sam","Did Justin inform Sam that Emma studied on Saturday morning?","3","C","Yes","Emma is in law school",9
71,2496,"Vanessa is good at math",NA,"F","control4","Susan",NA,NA,"control","Is Vanessa good at math?","control4","control","No","Vanessa won a prize at school",10
71,2494,"Zack is coming to the meeting tomorrow",NA,"F","control1","Sarah",NA,NA,"control","Is Zack coming to the meeting tomorrow?","control1","control","No","Zack is a member of the golf club",11
71,6142,"Josh learned to ride a bike yesterday","F","F","16","Sandra","factH","Christina","acknowledge","Did Sharon acknowledge that Josh learned to ride a bike yesterday?","16","C","No","Josh is a 5-year old boy",12
71,3314,"Frank got a cat","F","M","12","Kenneth","factL","Diane","say","Did Melissa say that Frank got a cat?","12","C","No","Frank is allergic to cats",13
71,3468,"Zoe calculated the tip","M","F","10","Kimberly","factH","Ryan","see","Did Tim see that Zoe calculated the tip?","10","NonProj","Yes","Zoe is a math major",14
71,4232,"Danny ate the last cupcake","F","F","11","Jessica","factH","Sharon","reveal","Did Amanda reveal that Danny ate the last cupcake?","11","NonProj","No","Danny loves cake",15
71,2246,"Madison had a baby",NA,"M","control5","Robert",NA,NA,"control","Did Madison have a baby?","control5","control","No","Trish sent Madison a card",16
71,2228,"Todd played football in high school",NA,"M","control3","David",NA,NA,"control","Did Todd play football in high school?","control3","control","No","Todd goes to the gym 3 times a week",17
71,3664,"Owen shoveled snow last winter","F","M","17","Steven","factH","Julie","announce","Did Cynthia announce that Owen shoveled snow last winter?","17","C","No","Owen lives in Chicago",18
71,6126,"Charley speaks Spanish","F","F","20","Donna","factL","Melissa","suggest","Did Anna suggest that Charley speaks Spanish?","20","C","No","Charley lives in Korea",19
71,2612,"Mary is pregnant","M","M","1","Robert","factL","Edward","discover","Did Patrick discover that Mary is pregnant?","1","NonProj","Yes","Mary is a middle school student",20
71,3398,"Sophia got a tattoo","M","F","5","Ashley","factH","Eric","establish","Did Ben establish that Sophia got a tattoo?","5","NonProj","No","Sophia is a hipster",21
71,3978,"Tony had a drink last night","F","F","15","Dorothy","factH","Joyce","know","Does Rebecca know that Tony had a drink last night?","15","NonProj","Yes","Tony really likes to party with his friends",22
71,3516,"Jayden rented a car","F","M","14","David","factL","Virginia","prove","Did Stephanie prove that Jayden rented a car?","14","C","No","Jayden doesn&quotechart have a driver&quotechars license",23
71,3180,"Hendrick&quotechars car was expensive",NA,"M","control6","Kenneth",NA,NA,"control","Was Hendrick&quotechars car expensive?","control6","control","No","Hendrick just bought a car",24
71,4170,"Julian dances salsa","F","F","18","Karen","factH","Laura","think","Does Kathleen think that Julian dances salsa?","18","NonProj","No","Julian is Cuban",25
71,2229,"Mary&quotechars aunt is sick",NA,"M","control2","Richard",NA,NA,"control","Is Mary&quotechars aunt sick?","control2","control","No","Mary visited her aunt on Sunday",26
